category,slug,title,year,journal,doi,citations,openalex,closest_bib_title,closest_score
repository deposit,ms_network-sampling-draft-ms-for-functional-ecology-special-issue-on-networks,Ms_Network-Sampling: Draft Ms For Functional Ecology Special Issue On Networks.,2015,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.29437,0,W2222157935,,
repository deposit,pollination-patterns-in-a-relict-meta-population-of-pedunculate-oak-quercus-robu,Pollination patterns in a relict meta-population of Pedunculate oak (Quercus robur) in Central Spain,2012,HAL (Le Centre pour la Communication Scientifique Directe),,0,W4206849126,,
repository deposit,interacciones-entre-plantas-y-polinizadores-en-el-parqur-nacional-del-teide-cons,"Interacciones entre plantas y polinizadores en el Parqur Nacional del Teide: consecuencias ecológicas de la introducción masiva de la abeja doméstica, Apis melifera (Apidae)",2011,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,4,W1024877374,,
repository deposit,male-fecundity-and-pollen-dispersal-in-populations-of-a-riparian-tree-species,Male fecundity and pollen dispersal in populations of a riparian tree species,2011,HAL (Le Centre pour la Communication Scientifique Directe),,0,W3119055963,,
repository deposit,darwin-en-sevilla-antonio-machado-y-núñez-y-los-darwinistas-sevillanos,Darwin en Sevilla: Antonio Machado y Núñez y los darwinistas sevillanos,2010,Dialnet (Universidad de la Rioja),,0,W3162976737,,
repository deposit,el-significado-actual-de-la-evolución,El significado actual de la evolución,2010,Dialnet (Universidad de la Rioja),,0,W3091347236,,
repository deposit,la-evolución-hoy-conferencias-organizadas,La evolución hoy. Conferencias Organizadas,2010,Dialnet (Universidad de la Rioja),,0,W3083026123,,
repository deposit,mutualistic-networks-reports-from-the-esa-annual-meeting,Mutualistic networks. Reports from the ESA Annual Meeting,2010,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,1,W978104007,,
repository deposit,redes-mutualistas-de-especies,Redes mutualistas de especies,2008,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,18,W1489764016,,
repository deposit,seed-dispersal-by-frugivores-an-empirical-approach-to-analyze-their-demographic-,Seed dispersal by frugivores: An empirical approach to analyze their demographic consequences,2007,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,3,W299787290,,
repository deposit,initial-recruitment-of-vertebrate-dispersed-plants-dissecting-spatial-patterns-t,Initial Recruitment of Vertebrate-Dispersed Plants: Dissecting Spatial Patterns Through Time,2005,Digital Commons - USU (Utah State University),,0,W107632162,,
repository deposit,spatial-and-temporal-dynamics-of-seed-rain-and-seedling-emergence-in-animal-disp,Spatial and Temporal Dynamics of Seed Rain and Seedling Emergence in Animal-Dispersed Species: Bridging Dispersal and Establishment,2005,Digital Commons - USU (Utah State University),,0,W153752343,,
repository deposit,ecological-and-demographic-research-in-mediterranean-forests-of-southern-spain-a,Ecological and demographic research in Mediterranean forests of Southern Spain: applications to conservation and restoration.,2001,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,5,W1006099515,,
repository deposit,variación-de-la-dieta-frugívora-otoño-invernal-del-petirrojo-erithacus-rubecula-,Variación de la dieta frugívora otoño-invernal del Petirrojo (Erithacus rubecula): efectos sobre la condición corporal,1989,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,7,W969903211,,
repository deposit,polinización-y-variabilidad-de-la-producción-de-semillas-en-pistacia-lentiscus-l,Polinización y variabilidad de la producción de semillas en Pistacia lentiscus L. (Anacardiaceae),1988,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,22,W2212179132,,
repository deposit,importancia-de-la-estructura-de-la-vegetación-en-la-selección-del-hábitat-para-l,Importancia de la estructura de la vegetación en la selección del hábitat para la nidificación en una comunidad de rapaces diurnas mediterráneas,1981,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,2,W1040261058,,
repository deposit,doñana-acta-vertebrata-vol-5-12,Doñana. Acta vertebrata. vol 5 (1/2),1978,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,0,W2469545589,,
